TableSize,DataSize,insertStdMap,searchStdMap,deleteStdMap,insertStdHashMap,searchStdHashMap,deleteStdHashMap,insertChained,searchChained,deleteChained,attemptsChained,insertOpened_linear,searchOpened_linear,deleteOpened_linear,insertOpened_quadratic,searchOpened_quadratic,deleteOpened_quadratic,attemptsOpened_quadratic,insertOpened_double,searchOpened_double,deleteOpened_double,attemptsOpened_double,insertCuckoo,searchCuckoo,deleteCuckoo,attemptsCuckoo
23000,5750,6.233333,3.033333,6.500000,3.233333,0.700000,1.333333,2.333333,3.700000,3.533333,0.533333,2.833333,4.200000,3.300000,3.166667,4.466667,3.566667,0.300000,3.833333,5.366667,5.100000,0.333333,3.533333,3.066667,2.533333,0.000000
24000,6000,6.400000,3.233333,6.666667,3.866667,0.766667,1.400000,3.066667,4.566667,4.300000,0.666667,4.766667,6.133333,5.066667,3.733333,5.633333,4.533333,0.433333,4.600000,6.233333,4.966667,0.466667,3.566667,3.066667,2.633333,0.000000
25000,6250,6.433333,3.200000,6.766667,3.233333,0.666667,1.333333,2.533333,4.033333,3.833333,0.566667,5.066667,5.400000,4.133333,3.600000,5.000000,4.033333,0.433333,3.433333,4.866667,3.866667,0.300000,3.666667,3.200000,2.700000,0.000000
26000,6500,7.733333,3.366667,6.500000,3.200000,0.700000,1.300000,2.300000,3.766667,3.533333,0.466667,4.266667,4.700000,3.566667,3.066667,4.366667,3.366667,0.166667,3.000000,4.433333,3.500000,0.200000,3.633333,4.800000,2.733333,0.000000
27000,6750,6.533333,3.066667,6.433333,7.066667,0.700000,1.400000,2.966667,4.466667,4.200000,0.666667,3.700000,5.300000,4.166667,3.833333,5.400000,4.333333,0.466667,4.066667,5.466667,4.466667,0.433333,4.666667,3.200000,2.766667,0.000000
28000,7000,6.700000,3.300000,6.933333,3.966667,0.766667,1.500000,3.133333,4.800000,4.733333,0.566667,3.800000,5.166667,4.166667,3.600000,5.133333,4.133333,0.400000,3.300000,4.766667,3.766667,0.200000,3.900000,3.400000,2.833333,0.000000
29000,7250,6.300000,3.200000,6.566667,3.466667,0.733333,1.433333,2.533333,4.033333,3.900000,0.533333,2.900000,4.466667,3.566667,3.133333,4.633333,3.633333,0.266667,3.133333,4.666667,3.700000,0.200000,3.633333,3.166667,2.700000,0.000000
30000,7500,5.900000,3.100000,6.466667,3.200000,0.700000,1.400000,2.866667,4.333333,4.166667,0.800000,4.133333,5.600000,6.266667,4.366667,5.833333,4.833333,0.700000,4.100000,5.566667,4.600000,0.533333,7.733333,3.300000,2.733333,0.000000
31000,7750,5.866667,3.166667,6.533333,3.100000,0.700000,1.266667,2.166667,3.466667,3.300000,0.533333,2.533333,3.866667,3.033333,2.833333,4.100000,3.300000,0.300000,2.866667,4.200000,3.300000,0.233333,2.966667,2.633333,2.233333,0.000000
32000,8000,5.933333,3.066667,6.500000,3.266667,0.700000,1.366667,2.566667,4.033333,3.833333,0.600000,3.600000,5.000000,4.100000,3.533333,4.933333,4.033333,0.400000,3.633333,5.033333,4.100000,0.366667,3.466667,2.933333,2.566667,0.000000
33000,8250,5.966667,3.133333,6.666667,3.133333,0.666667,1.300000,2.300000,3.733333,3.533333,0.400000,3.000000,4.400000,3.400000,2.666667,4.100000,3.133333,0.100000,3.000000,4.466667,3.533333,0.133333,3.600000,3.266667,3.666667,0.000000
34000,8500,6.066667,3.133333,6.566667,3.033333,1.100000,1.266667,2.233333,3.733333,3.533333,0.466667,3.300000,4.366667,3.433333,5.400000,4.566667,3.633333,0.266667,3.200000,4.666667,3.700000,0.233333,3.300000,2.933333,2.433333,0.000000
35000,8750,5.866667,3.066667,6.566667,3.133333,0.666667,1.300000,2.700000,4.166667,4.000000,0.700000,4.533333,6.000000,5.133333,4.000000,5.400000,4.500000,0.533333,6.500000,31.966667,8.933333,0.466667,3.366667,2.900000,2.466667,0.000000
36000,9000,5.966667,3.133333,6.633333,3.166667,0.666667,1.300000,2.900000,3.900000,3.766667,0.500000,2.766667,4.200000,3.266667,6.966667,4.633333,3.666667,0.300000,3.200000,4.666667,3.700000,0.233333,3.466667,3.033333,2.600000,0.000000
37000,9250,6.433333,3.233333,7.000000,3.433333,0.700000,1.400000,2.666667,4.133333,3.933333,0.500000,3.100000,4.566667,3.966667,3.566667,4.666667,3.633333,0.233333,5.366667,4.966667,3.900000,0.266667,3.833333,3.366667,2.833333,0.000000
38000,9500,6.633333,3.200000,7.066667,3.066667,0.666667,1.300000,2.566667,7.000000,3.766667,0.633333,3.233333,4.666667,3.666667,3.666667,4.933333,4.000000,0.466667,3.466667,4.700000,3.800000,0.300000,4.933333,3.133333,2.933333,0.000000
