TableSize,DataSize,insertStdMap,searchStdMap,deleteStdMap,insertStdHashMap,searchStdHashMap,deleteStdHashMap,insertChained,searchChained,deleteChained,attemptsChained,insertOpened_quadratic,searchOpened_quadratic,deleteOpened_quadratic,attemptsOpened_quadratic,insertOpened_double,searchOpened_double,deleteOpened_double,attemptsOpened_double
38700,19350,6.166667,3.366667,6.966667,3.233333,0.700000,1.333333,2.800000,4.200000,4.000000,0.766667,3.766667,6.700000,5.666667,1.033333,3.533333,5.833333,4.900000,0.633333
38800,19400,6.433333,3.500000,7.200000,3.700000,0.766667,1.433333,3.066667,4.600000,4.366667,0.733333,3.666667,6.600000,5.733333,0.833333,4.633333,8.066667,6.933333,1.200000
38900,19450,7.033333,3.633333,7.533333,3.600000,0.766667,1.433333,3.100000,4.700000,4.433333,0.766667,4.433333,8.033334,7.433333,1.566667,3.900000,6.400000,5.433333,0.833333
39000,19500,6.500000,3.433333,7.266667,3.200000,0.666667,1.366667,2.666667,4.166667,3.966667,0.666667,3.500000,6.066667,5.033333,0.833333,4.033333,6.833333,5.766667,0.933333
39100,19550,6.466667,3.366667,7.166667,3.100000,0.666667,1.300000,5.566667,8.033334,7.833333,0.733333,3.633333,6.766667,5.333333,0.900000,4.433333,7.400000,6.800000,1.066667
39200,19600,7.000000,3.433333,8.400000,3.933333,0.733333,1.500000,3.133333,4.566667,4.366667,0.800000,3.433333,5.866667,4.766667,0.566667,3.733333,6.333333,5.366667,0.700000
39300,19650,6.133333,3.300000,6.933333,3.200000,0.666667,1.300000,2.933333,4.200000,4.000000,0.933333,4.933333,12.733334,8.233334,1.666667,4.133333,7.700000,8.400000,1.033333
39400,19700,7.166667,3.566667,7.166667,3.666667,0.733333,1.433333,3.166667,4.633333,4.366667,0.666667,4.033333,7.100000,6.033333,1.133333,4.900000,8.600000,7.300000,1.166667
39500,19750,6.600000,3.766667,8.000000,3.366667,0.700000,1.433333,3.500000,5.133333,4.833333,0.933333,4.500000,7.700000,6.633333,0.966667,5.066667,8.033334,6.833333,1.166667
39600,19800,6.533333,3.500000,6.900000,3.600000,0.700000,1.333333,2.966667,4.133333,4.000000,0.966667,5.300000,6.666667,5.533333,1.233333,3.833333,6.433333,5.533333,1.000000
39700,19850,7.300000,3.566667,7.100000,3.066667,0.666667,1.300000,2.366667,3.633333,3.433333,0.633333,3.200000,5.766667,4.900000,0.933333,5.266667,6.633333,5.866667,0.533333
39800,19900,6.466667,3.466667,7.200000,3.133333,0.700000,1.300000,2.666667,3.900000,3.733333,0.800000,5.966667,6.400000,5.433333,1.166667,3.333333,5.766667,4.833333,0.766667
39900,19950,6.300000,3.366667,7.166667,3.100000,0.666667,1.266667,2.833333,4.166667,4.000000,0.800000,4.400000,7.966667,6.933333,1.533333,3.333333,5.666667,4.633333,0.566667
40000,20000,7.200000,3.533333,7.200000,3.733333,0.733333,1.433333,3.300000,4.966667,4.700000,0.766667,4.033333,7.866667,6.666667,0.966667,4.533333,7.666667,6.400000,0.833333
